subject,body
Refund Request,I was charged twice for my booking
Booking Inquiry,Do you have availability next weekend?
Complaint,The room was dirty and noisy
Thank You,The staff were amazing during our stay
Invoice Attached,Please find attached invoice for March
Cancellation Request,I need to cancel my reservation for next month
Feedback,The breakfast was delicious and the service was excellent
Promotion,Get 20% off your next stay with code SAVE20
New Booking,I'd like to book a room for two nights in July
Follow Up,Just following up on my previous email regarding my refund request
Maintenance Request,The air conditioning in my room is not working
Special Request,Can I have a late check-out on my departure day?
Event Invitation,You are invited to our annual customer appreciation event
Survey,Please take a moment to complete our customer satisfaction survey
Newsletter,Subscribe to our monthly newsletter for exclusive offers and updates
Appointment Confirmation,Your appointment has been confirmed for next Tuesday at 3 PM
Payment Confirmation,Your payment has been successfully processed
Shipping Update,Your order has been shipped and is expected to arrive in 3-5 business days
